config_id,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,ess_floor,cond_ref,gamma_ess_scale,gamma_cond_scale,pooled_gap_mean,pooled_p_value,pooled_test,pooled_n_pairs,stability_mse_mean,pooled_mse_mean,holm_adjusted_p,stability_beats_pooled,holm_significant
cfg_0383,0.3,0.1,0.5,0.0001,logistic_ratio_proxy,p99,16,True,200.0,120.0,0.8,0.25,0.023813125700762126,0.98492431640625,paired_wilcoxon,15,0.15850397738712638,0.13469085168636424,0.98492431640625,False,False
cfg_0000,0.1,0.0,0.0,1e-05,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.018549608355666432,0.11452742214534468,paired_t_test,15,0.16532277906095588,0.18387238741662232,1.0,True,False
cfg_0001,0.1,0.0,0.0,1e-05,gaussian_diag_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.018549608355666432,0.11452742214534468,paired_t_test,15,0.16532277906095588,0.18387238741662232,1.0,True,False
cfg_0016,0.1,0.0,0.0,0.0001,gaussian_diag_proxy,none,8,False,200.0,120.0,0.8,0.25,-0.018549584447398793,0.11452781673255606,paired_t_test,15,0.16532280062436636,0.18387238507176515,1.0,True,False
cfg_0017,0.1,0.0,0.0,0.0001,gaussian_diag_proxy,none,8,True,200.0,120.0,0.8,0.25,-0.018549584447398793,0.11452781673255606,paired_t_test,15,0.16532280062436636,0.18387238507176515,1.0,True,False
cfg_0114,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,16,False,200.0,120.0,0.8,0.25,-0.017193142642629493,0.380767822265625,paired_wilcoxon,15,0.14490946451181513,0.1621026071544446,1.0,True,False
cfg_0115,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,16,True,200.0,120.0,0.8,0.25,-0.017193142642629493,0.380767822265625,paired_wilcoxon,15,0.14490946451181513,0.1621026071544446,1.0,True,False
cfg_0098,0.1,0.1,0.0,1e-05,gaussian_diag_proxy,none,16,False,200.0,120.0,0.8,0.25,-0.01719312402978553,0.380767822265625,paired_wilcoxon,15,0.1449094838062119,0.16210260783599742,1.0,True,False
cfg_0099,0.1,0.1,0.0,1e-05,gaussian_diag_proxy,none,16,True,200.0,120.0,0.8,0.25,-0.01719312402978553,0.380767822265625,paired_wilcoxon,15,0.1449094838062119,0.16210260783599742,1.0,True,False
cfg_0054,0.1,0.0,0.1,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.015556122349479272,0.1038818359375,paired_wilcoxon,15,0.13655311116243302,0.15210923351191227,1.0,True,False
cfg_0055,0.1,0.0,0.1,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.015556122349479272,0.1038818359375,paired_wilcoxon,15,0.13655311116243302,0.15210923351191227,1.0,True,False
cfg_0150,0.1,0.1,0.1,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.015556122349479272,0.1038818359375,paired_wilcoxon,15,0.13655311116243302,0.15210923351191227,1.0,True,False
cfg_0151,0.1,0.1,0.1,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.015556122349479272,0.1038818359375,paired_wilcoxon,15,0.13655311116243302,0.15210923351191227,1.0,True,False
cfg_0038,0.1,0.0,0.1,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.015556118066026513,0.1038818359375,paired_wilcoxon,15,0.1365531159391041,0.15210923400513063,1.0,True,False
cfg_0039,0.1,0.0,0.1,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.015556118066026513,0.1038818359375,paired_wilcoxon,15,0.1365531159391041,0.15210923400513063,1.0,True,False
cfg_0134,0.1,0.1,0.1,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.015556118066026513,0.1038818359375,paired_wilcoxon,15,0.1365531159391041,0.15210923400513063,1.0,True,False
cfg_0135,0.1,0.1,0.1,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.015556118066026513,0.1038818359375,paired_wilcoxon,15,0.1365531159391041,0.15210923400513063,1.0,True,False
cfg_0247,0.3,0.0,0.1,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014976472622647221,0.151397705078125,paired_wilcoxon,15,0.13713276088926504,0.15210923351191227,1.0,True,False
cfg_0342,0.3,0.1,0.1,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014976472622647221,0.151397705078125,paired_wilcoxon,15,0.13713276088926504,0.15210923351191227,1.0,True,False
cfg_0343,0.3,0.1,0.1,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014976472622647221,0.151397705078125,paired_wilcoxon,15,0.13713276088926504,0.15210923351191227,1.0,True,False
cfg_0231,0.3,0.0,0.1,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014976464380076892,0.151397705078125,paired_wilcoxon,15,0.13713276962505372,0.15210923400513063,1.0,True,False
cfg_0326,0.3,0.1,0.1,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014976464380076892,0.151397705078125,paired_wilcoxon,15,0.13713276962505372,0.15210923400513063,1.0,True,False
cfg_0327,0.3,0.1,0.1,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014976464380076892,0.151397705078125,paired_wilcoxon,15,0.13713276962505372,0.15210923400513063,1.0,True,False
cfg_0278,0.3,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014860244696080447,0.151397705078125,paired_wilcoxon,15,0.1372489888158318,0.15210923351191227,1.0,True,False
cfg_0374,0.3,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014860244696080447,0.151397705078125,paired_wilcoxon,15,0.1372489888158318,0.15210923351191227,1.0,True,False
cfg_0262,0.3,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014860232029738503,0.151397705078125,paired_wilcoxon,15,0.13724900197539208,0.15210923400513063,1.0,True,False
cfg_0358,0.3,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014860232029738503,0.151397705078125,paired_wilcoxon,15,0.13724900197539208,0.15210923400513063,1.0,True,False
cfg_0086,0.1,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.01467473984947761,0.151397705078125,paired_wilcoxon,15,0.13743449366243465,0.15210923351191227,1.0,True,False
cfg_0087,0.1,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.01467473984947761,0.151397705078125,paired_wilcoxon,15,0.13743449366243465,0.15210923351191227,1.0,True,False
cfg_0182,0.1,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.01467473984947761,0.151397705078125,paired_wilcoxon,15,0.13743449366243465,0.15210923351191227,1.0,True,False
cfg_0183,0.1,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.01467473984947761,0.151397705078125,paired_wilcoxon,15,0.13743449366243465,0.15210923351191227,1.0,True,False
cfg_0070,0.1,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014674732575708532,0.151397705078125,paired_wilcoxon,15,0.1374345014294221,0.15210923400513063,1.0,True,False
cfg_0071,0.1,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014674732575708532,0.151397705078125,paired_wilcoxon,15,0.1374345014294221,0.15210923400513063,1.0,True,False
cfg_0166,0.1,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,False,200.0,120.0,0.8,0.25,-0.014674732575708532,0.151397705078125,paired_wilcoxon,15,0.1374345014294221,0.15210923400513063,1.0,True,False
cfg_0167,0.1,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014674732575708532,0.151397705078125,paired_wilcoxon,15,0.1374345014294221,0.15210923400513063,1.0,True,False
cfg_0279,0.3,0.0,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.01438415469517492,0.210601806640625,paired_wilcoxon,15,0.13772507881673732,0.15210923351191227,1.0,True,False
cfg_0375,0.3,0.1,0.5,0.0001,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.01438415469517492,0.210601806640625,paired_wilcoxon,15,0.13772507881673732,0.15210923351191227,1.0,True,False
cfg_0263,0.3,0.0,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014384143293512907,0.210601806640625,paired_wilcoxon,15,0.13772509071161773,0.15210923400513063,1.0,True,False
cfg_0359,0.3,0.1,0.5,1e-05,gaussian_diag_proxy,p99,16,True,200.0,120.0,0.8,0.25,-0.014384143293512907,0.210601806640625,paired_wilcoxon,15,0.13772509071161773,0.15210923400513063,1.0,True,False
