setting,seed,method,alpha,beta,gamma,ridge_lambda,ratio_estimator,clipping,candidate_pool_size,adaptive_gamma,target_mse,ess,condition_number,ratio_uncertainty,weight_second_moment,target_excess_risk_vs_oracle,regret_gap_to_oracle_selected_source,gamma_effective
B,23,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.1487274476388957,203.60003868991026,6.662232892540641,3.858324682843056,47.15126805345352,0.022636532603876686,0.022636532603876686,0.0
B,23,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.2373783473897671,1199.999999999999,17.65692530039618,0.0,1.0,0.11128743235474808,0.11128743235474808,0.0
B,23,mixed_shift_gate_plus_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.39485446080949116,5.108770140592587,105.54144932102344,1.3793262473180368,234.89019215375166,0.26876354577447215,0.26876354577447215,0.0
B,23,oracle_best_source_retrospective,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.126090915035019,5.082964013063719,53.91526197401902,0.061262039645041115,236.0827258919292,0.0,0.0,0.0
B,47,stability_aware_composite,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.169513315295181,4.548517965029596,54.16004815660473,0.6317583012360916,263.8221964171383,0.0,0.0,0.0
B,47,random_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.169513315295181,4.548517965029596,54.16004815660473,0.6317583012360916,263.8221964171383,0.0,0.0,0.0
B,47,mmd_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.18372450211134292,12.69621636885352,33.40037876653097,2.338807811641991,94.51634763705512,0.01421118681616193,0.01421118681616193,0.0
B,47,wasserstein_nearest_source_plus_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.18372450211134292,12.69621636885352,33.40037876653097,2.338807811641991,94.51634763705512,0.01421118681616193,0.01421118681616193,0.0
B,47,pooled_source_IWLS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.1711362844420895,186.1530155843291,13.291559929302563,3.6493866536430337,51.57047802759387,0.001622969146908515,0.001622969146908515,0.0
B,47,single_source_unweighted_LS,0.1,0.1,0.0,0.0001,gaussian_diag_proxy,none,8,True,0.13339780839733986,1199.999999999999,22.433344633127778,0.0,1.0,-0.036115506897841126,-0.036115506897841126,0.0
